,Songs,Listeners,Playcount,Duration,Tags
39,Highlit,113,308,0,[]
40,Djivan Gasparyan / My home,70,139,0,[]
41,Mkrtich Malkhasyan / I am outcast by you,57,99,0,[]
42,Mkrtich Malkhasyan / That spring,52,90,0,[]
43,Djivan Gasparyan / Call of a herdsman,55,97,0,[]
44,Pascal,102,266,0,[]
45,Sergey Karapetyan / Evening hour,42,69,0,[]
46,Fallen Star,2673,8195,289000,"[u'world', u'instrumental', u'duduk', u'MJ-Lurrrvved Tunage', u'world ambient', u'jtradio', u'mind travel', u'DJivan G', u'MJ- lurrrvved tunage', u'recos2']"
47,Bonined,103,249,0,[]
48,Djivan Gasparyan / I don't give a sigh in my life,61,120,0,[]
49,Together Forever,2993,8766,409000,"[u'duduk', u'world', u'World Music', u'instrumental', u'Armenian', u'MJ-Lurrrvved Tunage', u'Love', u'melancholic', u'yes', u'group of people who are', u'Real World', u'outpostpw', u'Genialne', u'play me some more', u'classic and more', u'uitpluizen', u'fin - classic and more', u'evocative chillout', u'uhurah entspannt', u'Djivan Gasparyan 01', u'armanian jazz', u'MJ- lurrrvved tunage']"
50,Guttapercha,135,391,0,[]
51,Winter Day,99,265,0,[]
52,Freedom,3283,10233,326000,"[u'world', u'duduk', u'etnik', u'great armenian', u'instrumental', u'ethnic', u'ethereal', u'Indian', u'World Music', u'yes', u'freedom', u'One of the best songs ever', u'pure genious', u'mahe', u'bloody brilliant', u'SUPER SWEET', u'Super Loved', u'reminds me of mom and childhood', u'fuk det her det rykker', u'Grrrrrrrrreat', u'hopelessly overlooked', u'notag', u'madmian']"
53,Adagio in G Minor,144,488,0,[]
54,Sergey Karapetyan / Splendid spring,49,86,0,[]
55,Sergey Karapetyan / Garden,50,84,0,[]
56,Djivan Gasparyan / You are ploughman,70,124,0,[]
57,Djivan Gasparyan / Brother hunter,62,112,0,[]
58,Mkrtich Malkhasyan / Every morning,50,87,0,[]
59,To The River,3337,10049,249000,"[u'world', u'ethnic', u'ethno', u'armenia', u'male vocalist', u'world fusion', u'magic', u'duduk', u'middle east', u'Real World', u'womad 2008', u'wotty', u'diszno']"
60,Sergey Karapetyan / Waiting,50,80,0,[]
61,Forbidden Love,2794,7620,339000,"[u'world', u'instrumental', u'arabic', u'beautiful', u'ethnic', u'lounge', u'minimalism', u'I Like It', u'Armenian', u'duduk', u'doudouk', u'etnik', u'musique du monde', u'uuuu', u'bilur']"
62,Chiarescuroed,114,355,0,[]
63,Delacroix,140,320,0,[]
64,Black Hills,109,271,0,[]
65,Take My Heart,3745,11598,274000,"[u'world', u'instrumental', u'world fusion', u'eternity and a day', u'chill out', u'Armenian', u'male vocalists', u'lipstick', u'duduk', u'jtradio', u'kocham lubie szanuje', u'playground-songs', u'interesting music new to me', u'Kherdian', u'Tunc', u'jivaeri', u'Chillout Sound']"
66,Penumbra,141,365,0,[]
67,Caravan,11,43,0,[]
68,Naked Spirit (featuring Djivan Gasparyan),1135,3689,0,"[u'world', u'World Music', u'meditative']"
69,Yemen,2,2,0,[]
70,Tosca,1,1,0,[]
71,On the trace of my nostalgie,10,33,0,[]
72,Dle Taman (Դլե յաման),1,1,0,[]
73,To Zucchabar,1,1,0,[]
74,Музыка души,1,1,0,[]
75,Together Forever,467,1243,413000,[u'new age']
76,Desert sun,11,39,0,[]
77,Sorrow,14,29,0,[]
78,Dle Yaman,7720,22034,239000,"[u'zen', u'world', u'Armenian', u'instrumental', u'duduk', u'Meditation', u'ambient', u'flute', u'relaxing', u'World Folk', u'breathing roots', u'folk', u'Calming', u'male vocalists', u'meditative', u'relax', u'Oriental', u'asia', u'doudouk', u'eclectic dreaming', u'mio', u'My Best', u'winding down', u'Armenien', u'Armenisch', u'play me some more', u'classic and more', u'uitpluizen', u'lyrisch', u'Lara-Loved', u'amrita', u'yousseff', u'contodamialma', u'duduk3', u'movie scorable', u'Hajastan', u'Meditbergers', u'elative awe', u'drifting with love sound', u'soul horizons', u'Another World is Posible']"
79,Djivan Gasparyan-Mama,1,1,0,[]
80,Дудук,4,18,0,[]
81,Galla.,1,1,0,[]
82,- Maria,1,2,0,[]
83,01. Chiresured,44,122,0,[]
84,- Maria,1,2,0,[]
